n,GTAP_med,GTAP_err_low,GTAP_err_high,OMP_med,OMP_err_low,OMP_err_high,CILK_med,CILK_err_low,CILK_err_high,DYNASOAR_med,DYNASOAR_err_low,DYNASOAR_err_high,SEQ_med,SEQ_err_low,SEQ_err_high,Speedup_med(OMP/GTAP),Speedup_med(CILK/GTAP),Speedup_med(DYNASOAR/GTAP)
100,.295000,.019000,.010000,.012000,.002000,.001000,.052000,.001000,.002000,1.006469,.003072,.004256,.004000,0,0,.040677,.176271,3.411759
1000,.998500,.021500,.007500,.035000,.001000,0,.079000,.001000,.001000,3.505970,.016608,.369411,.032000,.001000,0,.035052,.079118,3.511236
10000,6.060500,.129500,.058500,.172000,.005000,.003000,.314500,.003500,.002500,10.063125,.066496,.585731,.611000,0,.002000,.028380,.051893,1.660444
100000,57.320500,1.419500,1.450500,.762000,.014000,.498000,1.050000,.011000,.009000,50.247055,.836693,.268623,7.189000,2.975000,.020000,.013293,.018318,.876598
1000000,580.226500,17.996500,16.707500,5.771000,.115000,.074000,6.209500,.049500,.046500,426.167892,2.843032,1.879837,48.857500,.377500,.176500,.009946,.010701,.734485
10000000,6725.366000,116.531000,119.227000,63.670000,4.192000,3.211000,50.622000,.106000,.135000,4847.113525,16.365478,9.023194,553.178000,.686000,1.780000,.009467,.007527,.720721
