cutoff,1queue_med,1queue_err_low,1queue_err_high,2queue_med,2queue_err_low,2queue_err_high,Speedup_1queue/2queue
3,210.223000,20.790000,3.133000,196.026000,6.002000,5.265000,1.072424
4,125.260500,1.217500,4.004500,122.849500,.743500,.685500,1.019625
5,114.886500,.345500,.327500,113.611500,.288500,.376500,1.011222
6,113.729500,.266500,.143500,111.134000,.301000,.164000,1.023354
7,111.498000,.258000,.327000,109.622500,.360500,.068500,1.017108
8,106.871000,.635000,.444000,104.134500,.423500,.185500,1.026278
9,102.838500,.075500,.106500,101.850500,.280500,.123500,1.009700
10,126.278000,.085000,.105000,123.451500,.089500,.148500,1.022895
