cutoff,1queue_med,1queue_err_low,1queue_err_high,3queue_med,3queue_err_low,3queue_err_high,Speedup_1queue/3queue
64,56.139000,.366000,.127000,57.071500,.317500,.301500,.983660
128,45.144000,.177000,.091000,46.095000,.134000,.180000,.979368
256,42.774000,.341000,.259000,44.100500,.189500,.395500,.969920
512,67.746000,.204000,.259000,70.663500,.261500,.241500,.958712
1024,51.995500,.579500,.498500,53.168000,.939000,.262000,.977947
2048,83.418000,1.417000,1.072000,83.867000,1.053000,1.758000,.994646
4096,123.882500,1.161500,2.124500,125.496000,1.192000,1.925000,.987143
