block_size,total_threads,grid_size,max_tasks_per_warp,ws_med,ws_err_low,ws_err_high,gq_med,gq_err_low,gq_err_high,chaselev_med,chaselev_err_low,chaselev_err_high
32,1024,32,25000000,289.152500,1.901500,2.451500,379.001500,.473500,.663500,620.761500,.463500,2.464500
32,2048,64,12500000,145.073500,.392500,.143500,255.399500,3.564500,3.645500,310.624500,.815500,.292500
32,4096,128,6250000,73.462000,.126000,.086000,227.121500,1.685500,3.133500,155.587000,.653000,.399000
32,8192,256,3125000,38.065000,.075000,.037000,224.365000,.301000,.398000,80.930000,.332000,.337000
32,16384,512,1562500,20.374500,.023500,.019500,261.683000,5.017000,2.232000,43.085000,.096000,.131000
32,32768,1024,781250,11.745500,.021500,.016500,434.717500,10.938500,2.229500,24.750500,.129500,.129500
32,65536,2048,390625,8.095500,.019500,.016500,736.962000,37.637000,6.562000,15.619000,.082000,.056000
32,131072,4096,195312,7.621000,.009000,.014000,1063.413500,18.806500,3.448500,11.163000,.073000,.057000
32,262144,8192,97656,7.702000,.017000,.009000,1081.581000,12.377000,12.083000,11.234500,.036500,.054500
