cutoff,1queue_med,1queue_err_low,1queue_err_high,3queue_med,3queue_err_low,3queue_err_high,Speedup_1queue/3queue
64,48.982000,.161000,.095000,50.300000,.306000,.316000,.973797
128,46.749000,.089000,.111000,44.935000,.221000,.233000,1.040369
256,43.823000,.147000,.087000,43.782500,.178500,.054500,1.000925
512,78.512500,.286500,.157500,74.650500,.216500,.215500,1.051734
1024,50.937000,.414000,.332000,51.622000,.500000,.064000,.986730
2048,83.688500,1.584500,.388500,80.940000,1.144000,1.646000,1.033957
4096,122.786500,1.640500,1.120500,123.853000,.710000,.833000,.991388
