cutoff,1queue_med,1queue_err_low,1queue_err_high,3queue_med,3queue_err_low,3queue_err_high,Speedup_1queue/3queue
64,56.220000,.154000,.108000,56.574500,.337500,.548500,.993733
128,45.018000,.234000,.183000,46.221000,.205000,.130000,.973972
256,42.593000,.068000,.286000,44.172500,.138500,.217500,.964242
512,67.738000,.492000,.264000,70.379000,.282000,.444000,.962474
1024,51.942000,.295000,.647000,52.993500,.758500,.434500,.980157
2048,83.322000,1.026000,.961000,83.565000,1.438000,1.015000,.997092
4096,124.542500,2.376500,1.404500,125.207500,2.679500,1.523500,.994688
