mem_ops,GTAP_block_med,GTAP_block_err_low,GTAP_block_err_high,GTAP_thread_med,GTAP_thread_err_low,GTAP_thread_err_high,OMP_med,OMP_err_low,OMP_err_high
8,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0
256,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0
1024,0,0,0,0,0,0,0,0,0
2048,0,0,0,0,0,0,0,0,0
4096,0,0,0,0,0,0,0,0,0
